Price,Adj Close,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,,
2023-08-28,63965.90234375,66800.0,67000.0,66500.0,66800.0,5824628
2023-08-29,63965.90234375,66800.0,67200.0,66600.0,66900.0,9114352
2023-08-30,64253.171875,67100.0,67700.0,67100.0,67300.0,9181223
2023-08-31,64061.65234375,66900.0,67200.0,66400.0,67100.0,15964630
2023-09-01,67987.7109375,71000.0,71000.0,66700.0,66800.0,29738235
2023-09-04,68179.2265625,71200.0,72900.0,70700.0,72900.0,26286495
2023-09-05,67700.4296875,70700.0,71500.0,70200.0,70900.0,12330239
2023-09-06,67030.125,70000.0,70800.0,69700.0,70700.0,11414620
2023-09-07,67413.1640625,70400.0,70600.0,69600.0,70000.0,13741241
2023-09-08,67317.3984375,70300.0,70300.0,69600.0,70200.0,10688118
2023-09-11,67796.203125,70800.0,70800.0,70000.0,70400.0,11785462
2023-09-12,67508.921875,70500.0,71000.0,70400.0,70800.0,11688599
2023-09-13,67891.953125,70900.0,71600.0,70300.0,71100.0,15955797
2023-09-14,68658.0234375,71700.0,71800.0,70800.0,71200.0,21041407
2023-09-15,68945.2734375,72000.0,72300.0,71400.0,71700.0,17823512
2023-09-18,67221.640625,70200.0,71700.0,70200.0,71300.0,16040727
2023-09-19,66838.6171875,69800.0,70800.0,69600.0,70400.0,11820188
2023-09-20,66647.1015625,69600.0,70300.0,69500.0,70000.0,10873015
2023-09-21,65976.8046875,68900.0,69800.0,68800.0,69200.0,10796336
2023-09-22,65881.0546875,68800.0,68900.0,68300.0,68300.0,9897840
2023-09-25,66455.5859375,69400.0,69700.0,68500.0,68500.0,13582516
2023-09-26,66033.015625,68600.0,70000.0,68400.0,70000.0,13143470
2023-09-27,65840.5078125,68400.0,69100.0,68200.0,68600.0,14886491
2023-10-04,64974.171875,67500.0,67700.0,66700.0,67400.0,23361149
2023-10-05,64204.11328125,66700.0,67400.0,66700.0,67300.0,16108313
2023-10-06,63530.30859375,66000.0,67300.0,66000.0,67100.0,14386527
2023-10-10,63915.33984375,66400.0,67600.0,66200.0,66200.0,19889202
2023-10-11,65647.984375,68200.0,69400.0,67900.0,68600.0,25209349
2023-10-12,66321.796875,68900.0,69700.0,68200.0,68600.0,19311380
2023-10-13,65455.48046875,68000.0,68500.0,67700.0,68000.0,9724086
2023-10-16,64781.6640625,67300.0,68500.0,66800.0,67900.0,12599299
2023-10-17,66803.078125,69400.0,69900.0,67400.0,67700.0,17299253
2023-10-18,67861.921875,70500.0,70500.0,68800.0,68900.0,16493184
2023-10-19,66899.34375,69500.0,70000.0,69400.0,69700.0,13985012
2023-10-20,66225.546875,68800.0,69200.0,68100.0,68900.0,15204495
2023-10-23,65840.5078125,68400.0,69100.0,68200.0,68700.0,11625959
2023-10-24,65936.75,68500.0,68800.0,67700.0,68700.0,12791710
2023-10-25,65455.48046875,68000.0,68800.0,67900.0,68800.0,10610703
2023-10-26,64204.11328125,66700.0,67900.0,66700.0,67000.0,15517624
2023-10-27,64781.6640625,67300.0,67300.0,66700.0,67100.0,11334726
2023-10-30,64781.6640625,67300.0,67800.0,66700.0,66800.0,10139270
2023-10-31,64396.62890625,66900.0,68300.0,66900.0,67600.0,14488892
2023-11-01,66033.015625,68600.0,68900.0,67300.0,67500.0,13775256
2023-11-02,67091.8671875,69700.0,70000.0,69400.0,70000.0,16350031
2023-11-03,66995.59375,69600.0,70200.0,69500.0,69700.0,10322234
2023-11-06,68246.9609375,70900.0,70900.0,69300.0,69800.0,22228489
2023-11-07,68246.9609375,70900.0,70900.0,70000.0,70600.0,17228731
2023-11-08,67284.3828125,69900.0,71400.0,69700.0,71300.0,12901310
2023-11-09,67669.3984375,70300.0,70800.0,69600.0,69900.0,12301373
2023-11-10,67861.921875,70500.0,70500.0,69500.0,70000.0,9684347
2023-11-13,67765.6640625,70400.0,71300.0,70300.0,71300.0,9246919
2023-11-14,68150.703125,70800.0,71100.0,70600.0,71000.0,9567984
2023-11-15,69498.3046875,72200.0,72200.0,71500.0,71600.0,20148677
2023-11-16,70075.859375,72800.0,73000.0,72300.0,72500.0,15860451
2023-11-17,69787.078125,72500.0,73000.0,72300.0,72300.0,11494644
2023-11-20,69979.59375,72700.0,73000.0,72100.0,72100.0,10610157
2023-11-21,70075.859375,72800.0,73400.0,72700.0,73100.0,9712881
